,departures,arrivals,sum,iata,airport,city,state,country,lat,long
ABE,2611.0,2540.0,5151.0,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167
ABI,399.0,392.0,791.0,ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722
ABQ,15499.0,15467.0,30966.0,ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
ABY,381.0,380.0,761.0,ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515000000004,-84.19447333
ACK,271.0,273.0,544.0,ACK,Nantucket Memorial,Nantucket,MA,USA,41.25305194,-70.06018139
ACT,420.0,404.0,824.0,ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917
ACV,1383.0,1360.0,2743.0,ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189
ACY,115.0,113.0,228.0,ACY,Atlantic City International,Atlantic City,NJ,USA,39.45758333,-74.57716667
ADK,102.0,102.0,204.0,ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306
ADQ,398.0,396.0,794.0,ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553
AEX,1098.0,1090.0,2188.0,AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611
AGS,420.0,413.0,833.0,AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611
AKN,116.0,116.0,232.0,AKN,King Salmon,King Salmon,AK,USA,58.67680167,-156.6492175
ALB,6344.0,6283.0,12627.0,ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861
ALO,323.0,323.0,646.0,ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361
AMA,2291.0,2282.0,4573.0,AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272
ANC,7886.0,8295.0,16181.0,ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
ASE,1665.0,1610.0,3275.0,ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845
ATL,114718.0,115557.0,230275.0,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
ATW,2390.0,2370.0,4760.0,ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556
AUS,19959.0,20125.0,40084.0,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
AVL,2106.0,2102.0,4208.0,AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556
AVP,1523.0,1509.0,3032.0,AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.72426750000001
AZO,1870.0,1849.0,3719.0,AZO,Kalamazoo County,Kalamazoo,MI,USA,42.234875,-85.55205749999999
BDL,13311.0,13155.0,26466.0,BDL,Bradley International,Windsor Locks,CT,USA,41.93887417,-72.68322833
BET,391.0,389.0,780.0,BET,Bethel,Bethel,AK,USA,60.77977639,-161.8379975
BFL,2298.0,2288.0,4586.0,BFL,Meadows ,Bakersfield,CA,USA,35.43359806,-119.05676809999999
BGM,390.0,383.0,773.0,BGM,Binghamton Regional,Binghamton,NY,USA,42.20848278,-75.97961361
BGR,1758.0,1740.0,3498.0,BGR,Bangor International,Bangor,ME,USA,44.80744444,-68.82813889
BHM,11175.0,11136.0,22311.0,BHM,Birmingham International,Birmingham,AL,USA,33.56294306,-86.75354972
BIL,1612.0,1599.0,3211.0,BIL,Billings Logan Intl,Billings,MT,USA,45.8076625,-108.54286110000001
BIS,1048.0,1030.0,2078.0,BIS,Bismarck Municipal,Bismarck,ND,USA,46.77411111,-100.74672220000001
BJI,74.0,74.0,148.0,BJI,Bemidji-Beltrami County,Bemidji,MN,USA,47.50942417,-94.93372333
BLI,120.0,121.0,241.0,BLI,Bellingham Intl,Bellingham,WA,USA,48.79275,-122.53752779999999
BMI,2002.0,1978.0,3980.0,BMI,Central Illinois Regional,Bloomington,IL,USA,40.47798556,-88.91595278
BNA,20834.0,20724.0,41558.0,BNA,Nashville International,Nashville,TN,USA,36.12447667,-86.67818222
BOI,7288.0,7279.0,14567.0,BOI,Boise Air Terminal,Boise,ID,USA,43.56444444,-116.22277779999999
BOS,33735.0,33505.0,67240.0,BOS,Gen Edw L Logan Intl,Boston,MA,USA,42.3643475,-71.00517917
BPT,264.0,263.0,527.0,BPT,Southeast Texas Regional,Beaumont/Port Arthur,TX,USA,29.95083333,-94.02069444
BQK,385.0,379.0,764.0,BQK,Glynco Jetport,Brunswick,GA,USA,31.25902778,-81.46630556
BQN,1101.0,1104.0,2205.0,BQN,Rafael Hernandez,Aguadilla,PR,USA,18.49486111,-67.12944444
BRO,389.0,389.0,778.0,BRO,Brownsville/S.Padre Island International,Brownsville,TX,USA,25.90683333,-97.42586111
BRW,728.0,728.0,1456.0,BRW,Wiley Post Will Rogers Memorial,Barrow,AK,USA,71.2854475,-156.76600190000002
BTM,381.0,376.0,757.0,BTM,Bert Mooney,Butte,MT,USA,45.95479528,-112.49746
BTR,2441.0,2403.0,4844.0,BTR,"Baton Rouge Metropolitan, Ryan ",Baton Rouge,LA,USA,30.53316083,-91.14963444
BTV,3623.0,3608.0,7231.0,BTV,Burlington International,Burlington,VT,USA,44.47300361,-73.1503125
BUF,10636.0,10579.0,21215.0,BUF,Buffalo Niagara Intl,Buffalo,NY,USA,42.94052472,-78.73216667
BUR,6385.0,6328.0,12713.0,BUR,Burbank-Glendale-Pasadena,Burbank,CA,USA,34.20061917,-118.3584969
BWI,30139.0,30020.0,60159.0,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833
BZN,1679.0,1674.0,3353.0,BZN,Gallatin ,Bozeman,MT,USA,45.77690139,-111.15300719999999
CAE,4279.0,4253.0,8532.0,CAE,Columbia Metropolitan,Columbia,SC,USA,33.93884,-81.11953944
CAK,4043.0,4023.0,8066.0,CAK,Akron-Canton Regional,Akron,OH,USA,40.91631194,-81.44246556
CDC,373.0,372.0,745.0,CDC,Cedar City Muni,Cedar City,UT,USA,37.70097028,-113.098575
CDV,725.0,725.0,1450.0,CDV,Merle K (Mudhole) Smith,Cordova,AK,USA,60.49183389,-145.4776503
CEC,761.0,744.0,1505.0,CEC,Jack McNamara ,Crescent City,CA,USA,41.78015722,-124.23653329999999
CHA,2099.0,2084.0,4183.0,CHA,Lovell ,Chattanooga,TN,USA,35.03526833,-85.20378778
CHO,417.0,413.0,830.0,CHO,Charlottesville-Albermarle,Charlottesville,VA,USA,38.13863889,-78.45286111
CHS,5525.0,5483.0,11008.0,CHS,Charleston AFB/International,Charleston,SC,USA,32.89864639,-80.04050583
CIC,394.0,393.0,787.0,CIC,Chico Municipal,Chico,CA,USA,39.79538278,-121.8584231
CID,3715.0,3572.0,7287.0,CID,Eastern Iowa ,Cedar Rapids,IA,USA,41.88458833,-91.71087222
CLD,437.0,433.0,870.0,CLD,MC Clellan-Palomar Airport,,,USA,33.127231,-117.278727
CLE,30256.0,30551.0,60807.0,CLE,Cleveland-Hopkins Intl,Cleveland,OH,USA,41.41089417,-81.84939667
CLL,647.0,643.0,1290.0,CLL,Easterwood ,College Station,TX,USA,30.58858944,-96.36382417
CLT,39139.0,39336.0,78475.0,CLT,Charlotte/Douglas International,Charlotte,NC,USA,35.21401111,-80.94312583
CMH,14446.0,14895.0,29341.0,CMH,Port Columbus Intl,Columbus,OH,USA,39.99798528,-82.89188278
CMI,834.0,814.0,1648.0,CMI,University of Illinois-Willard,Champaign/Urbana,IL,USA,40.03925,-88.27805556
CMX,286.0,286.0,572.0,CMX,Houghton County Memorial,Hancock,MI,USA,47.16841722,-88.48906083
COD,852.0,851.0,1703.0,COD,Yellowstone Regional,Cody,WY,USA,44.52019417,-109.02379609999998
COS,5632.0,5582.0,11214.0,COS,City of Colorado Springs Muni,Colorado Springs,CO,USA,38.80580556,-104.70025
CPR,1181.0,1166.0,2347.0,CPR,Natrona County Intl,Casper,WY,USA,42.90835556,-106.46446609999998
CRP,1064.0,1060.0,2124.0,CRP,Corpus Christi International,Corpus Christi,TX,USA,27.77036083,-97.50121528
CRW,1648.0,1614.0,3262.0,CRW,Yeager,Charleston,WV,USA,38.37315083,-81.59318972
CSG,400.0,394.0,794.0,CSG,Columbus Metropolitan,Columbus,GA,USA,32.51633333,-84.93886111
CVG,44091.0,44768.0,88859.0,CVG,Cincinnati Northern Kentucky Intl,Covington,KY,USA,39.04614278,-84.6621725
CWA,1516.0,1499.0,3015.0,CWA,Central Wisconsin,Mosinee,WI,USA,44.77761917,-89.66677944
CYS,,2.0,,CYS,Cheyenne,Cheyenne,WY,USA,41.155722499999996,-104.81183809999999
DAB,1330.0,1326.0,2656.0,DAB,Daytona Beach International,Daytona Beach,FL,USA,29.17991667,-81.05805556
DAL,6975.0,7027.0,14002.0,DAL,Dallas Love ,Dallas,TX,USA,32.84711389,-96.85177222
DAY,6880.0,6834.0,13714.0,DAY,James M Cox Dayton Intl,Dayton,OH,USA,39.90237583,-84.219375
DBQ,430.0,424.0,854.0,DBQ,Dubuque Municipal,Dubuque,IA,USA,42.40295944,-90.70916722
DCA,22711.0,22592.0,45303.0,DCA,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222
DEN,79867.0,79805.0,159672.0,DEN,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019
DFW,62758.0,63180.0,125938.0,DFW,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372
DHN,382.0,380.0,762.0,DHN,Dothan ,Dothan,AL,USA,31.32133917,-85.44962889
DLG,116.0,116.0,232.0,DLG,Dillingham,Dillingham,AK,USA,59.0454125,-158.5033389
DLH,975.0,964.0,1939.0,DLH,Duluth International,Duluth,MN,USA,46.84209028,-92.19364861
DRO,1386.0,1373.0,2759.0,DRO,Durango-La Plata County,Durango,CO,USA,37.15151667,-107.75376920000001
DSM,7030.0,6944.0,13974.0,DSM,Des Moines International,Des Moines,IA,USA,41.53493306,-93.66068222
DTW,58419.0,58362.0,116781.0,DTW,Detroit Metropolitan-Wayne County,Detroit,MI,USA,42.21205889,-83.34883583
EGE,1877.0,1869.0,3746.0,EGE,Eagle County Regional,Eagle,CO,USA,39.64256778,-106.91769529999999
EKO,393.0,382.0,775.0,EKO,Elko Regional,Elko,NV,USA,40.82492611,-115.79169640000002
ELM,394.0,391.0,785.0,ELM,Elmira/Corning Regional,Elmira,NY,USA,42.15991361,-76.89144333
ELP,7144.0,7124.0,14268.0,ELP,El Paso International,El Paso,TX,USA,31.80666667,-106.37780559999999
ERI,417.0,403.0,820.0,ERI,Erie Intl,Erie,PA,USA,42.08202139,-80.17621556
EUG,2279.0,2265.0,4544.0,EUG,Mahlon Sweet ,Eugene,OR,USA,44.123259999999995,-123.21868559999999
EVV,2135.0,2104.0,4239.0,EVV,Evansville Regional,Evansville,IN,USA,38.03799139,-87.53062667
EWN,377.0,376.0,753.0,EWN,Craven County Regional,New Bern,NC,USA,35.07297222,-77.04294444
EWR,45653.0,45832.0,91485.0,EWR,Newark Intl,Newark,NJ,USA,40.69249722,-74.16866056
EYW,411.0,407.0,818.0,EYW,Key West International,Key West,FL,USA,24.55611111,-81.75955556
FAI,1717.0,1344.0,3061.0,FAI,Fairbanks International,Fairbanks,AK,USA,64.8136775,-147.8596694
FAR,1637.0,1620.0,3257.0,FAR,Hector International,Fargo,ND,USA,46.91934889,-96.81498889
FAT,4365.0,4343.0,8708.0,FAT,Fresno Yosemite International,Fresno,CA,USA,36.77619444,-119.7181389
FAY,483.0,480.0,963.0,FAY,Fayetteville Municipal,Fayetteville,NC,USA,34.99147222,-78.88
FCA,1012.0,1002.0,2014.0,FCA,Glacier Park Intl,Kalispell,MT,USA,48.31140472,-114.25506940000001
FLG,442.0,430.0,872.0,FLG,Flagstaff Pulliam,Flagstaff,AZ,USA,35.13845472,-111.67121829999999
FLL,23757.0,23710.0,47467.0,FLL,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,26.07258333,-80.15275
FLO,374.0,368.0,742.0,FLO,Florence Regional,Florence,SC,USA,34.18536111,-79.72388889
FNT,4062.0,4061.0,8123.0,FNT,Bishop,Flint,MI,USA,42.96550333,-83.74345639
FSD,2679.0,2662.0,5341.0,FSD,Joe Foss ,Sioux Falls,SD,USA,43.58135111,-96.74170028
FSM,1147.0,1132.0,2279.0,FSM,Fort Smith Regional,Fort Smith,AR,USA,35.33659028,-94.36744111
FWA,2663.0,2629.0,5292.0,FWA,Fort Wayne International,Fort Wayne,IN,USA,40.97846583,-85.19514639
GCC,524.0,519.0,1043.0,GCC,Gillette-Campbell County,Gillette,WY,USA,44.34889806,-105.5393614
GEG,6866.0,6828.0,13694.0,GEG,Spokane Intl,Spokane,WA,USA,47.61985556,-117.5338425
GFK,730.0,723.0,1453.0,GFK,Grand Forks International,Grand Forks,ND,USA,47.949255,-97.17611111
GGG,400.0,396.0,796.0,GGG,Gregg County,Longview,TX,USA,32.38486111,-94.71171
GJT,1816.0,1807.0,3623.0,GJT,Walker ,Grand Junction,CO,USA,39.1224125,-108.5267347
GNV,406.0,395.0,801.0,GNV,Gainesville Regional,Gainesville,FL,USA,29.69005556,-82.27177778
GPT,3321.0,3299.0,6620.0,GPT,Gulfport-Biloxi Regional,Gulfport-Biloxi,MS,USA,30.40728028,-89.07009278
GRB,3596.0,3584.0,7180.0,GRB,Austin Straubel International,Green Bay,WI,USA,44.48507333,-88.12959000000001
GRK,1050.0,1027.0,2077.0,GRK,Robert Gray AAF,Killeen,TX,USA,31.06489778,-97.82779778
GRR,6925.0,6793.0,13718.0,GRR,Kent County International,Grand Rapids,MI,USA,42.88081972,-85.52276778
GSO,6426.0,6396.0,12822.0,GSO,Piedmont Triad International,Greensboro,NC,USA,36.09774694,-79.9372975
GSP,5400.0,5391.0,10791.0,GSP,Greenville-Spartanburg,Greer,SC,USA,34.89566722,-82.21885833
GST,85.0,85.0,170.0,GST,Gustavus,Gustavus,AK,USA,58.42438139,-135.7073814
GTF,924.0,919.0,1843.0,GTF,Great Falls Intl,Great Falls,MT,USA,47.48200194,-111.37068529999999
GTR,382.0,378.0,760.0,GTR,Golden Triangle Regional,Columbus-Starkville-West Point,MS,USA,33.45033444,-88.59136861
GUC,572.0,565.0,1137.0,GUC,Gunnison County,Gunnison,CO,USA,38.53396333,-106.9331817
HDN,1488.0,1478.0,2966.0,HDN,Yampa Valley,Hayden,CO,USA,40.48118028,-107.21765970000001
HHH,374.0,359.0,733.0,HHH,Hilton Head,,,USA,32.224384,-80.697629
HLN,954.0,949.0,1903.0,HLN,Helena Regional,Helena,MT,USA,46.60681806,-111.9827503
HNL,14800.0,14814.0,29614.0,HNL,Honolulu International,Honolulu,HI,USA,21.31869111,-157.92240719999998
HOU,13141.0,13145.0,26286.0,HOU,William P Hobby,Houston,TX,USA,29.64541861,-95.27888889
HPN,4805.0,4751.0,9556.0,HPN,Westchester Cty,White Plains,NY,USA,41.06695778,-73.70757444
HRL,1467.0,1474.0,2941.0,HRL,Valley International,Harlingen,TX,USA,26.22850611,-97.65439389
HSV,5432.0,5333.0,10765.0,HSV,Huntsville International ,Huntsville,AL,USA,34.6404475,-86.77310944
HTS,93.0,95.0,188.0,HTS,Tri-State/Walker-Long ,Huntington,WV,USA,38.36666667,-82.55802778
IAD,31103.0,30770.0,61873.0,IAD,Washington Dulles International,Chantilly,VA,USA,38.94453194,-77.45580972
IAH,54906.0,55045.0,109951.0,IAH,George Bush Intercontinental,Houston,TX,USA,29.98047222,-95.33972222
ICT,5208.0,5143.0,10351.0,ICT,Wichita Mid-Continent,Wichita,KS,USA,37.64995889,-97.43304583
IDA,1158.0,1154.0,2312.0,IDA,Idaho Falls Regional,Idaho Falls,ID,USA,43.51455556,-112.07016670000002
ILM,1334.0,1333.0,2667.0,ILM,Wilmington International,Wilmington,NC,USA,34.27061111,-77.90255556
IND,19377.0,19511.0,38888.0,IND,Indianapolis International,Indianapolis,IN,USA,39.71732917,-86.29438417
INL,72.0,72.0,144.0,INL,Falls International,International Falls,MN,USA,48.56618722,-93.40306667
IPL,563.0,559.0,1122.0,IPL,Imperial County,Imperial,CA,USA,32.83422028,-115.5787456
ISP,3103.0,3098.0,6201.0,ISP,Long Island - MacArthur,Islip,NY,USA,40.7952425,-73.10021194
ITH,132.0,133.0,265.0,ITH,Tompkins Cty ,Ithaca,NY,USA,42.49102778,-76.45844444
ITO,1502.0,1193.0,2695.0,ITO,Hilo International,Hilo,HI,USA,19.72026306,-155.04847030000002
IYK,408.0,397.0,805.0,IYK,Inyokern,Inyokern,CA,USA,35.65884306,-117.8295122
JAC,2058.0,2058.0,4116.0,JAC,Jackson Hole,Jackson,WY,USA,43.60732417,-110.7377389
JAN,4771.0,4737.0,9508.0,JAN,Jackson International,Jackson,MS,USA,32.31116667,-90.07588889
JAX,12865.0,12824.0,25689.0,JAX,Jacksonville International,Jacksonville,FL,USA,30.49405556,-81.68786111
JFK,41490.0,41511.0,83001.0,JFK,John F Kennedy Intl,New York,NY,USA,40.63975111,-73.77892556
JNU,2330.0,2294.0,4624.0,JNU,Juneau International,Juneau,AK,USA,58.35496194,-134.57627639999998
KOA,3625.0,3902.0,7527.0,KOA,Kona International At Keahole,Kailua/Kona,HI,USA,19.73876583,-156.0456314
KTN,1485.0,1462.0,2947.0,KTN,Ketchikan International,Ketchikan,AK,USA,55.35556861,-131.71374
LAN,1967.0,1967.0,3934.0,LAN,Capital City,Lansing,MI,USA,42.7787,-84.58735806
LAS,50023.0,49846.0,99869.0,LAS,McCarran International,Las Vegas,NV,USA,36.08036111,-115.15233329999998
LAW,705.0,700.0,1405.0,LAW,Lawton-Ft Sill Regional,Lawton,OK,USA,34.56771444,-98.41663667
LAX,52796.0,53022.0,105818.0,LAX,Los Angeles International,Los Angeles,CA,USA,33.94253611,-118.40807439999999
LBB,2612.0,2600.0,5212.0,LBB,Lubbock International,Lubbock,TX,USA,33.66363889,-101.8227778
LCH,391.0,384.0,775.0,LCH,Lake Charles Regional,Lake Charles,LA,USA,30.126097499999997,-93.22340361
LEX,4958.0,4887.0,9845.0,LEX,Blue Grass ,Lexington,KY,USA,38.03697222,-84.60538889
LFT,1192.0,1169.0,2361.0,LFT,Lafayette Regional,Lafayette,LA,USA,30.20527972,-91.987655
LGA,31931.0,31885.0,63816.0,LGA,LaGuardia,New York,NY,USA,40.77724306,-73.87260917
