Abilene Regional,399
Adak,102
Adams,6012
Akron-Canton Regional,4043
Albany Cty,6344
Albert J Ellis,392
Albuquerque International,15499
Alexandria International,1098
Amarillo International,2291
Arcata,1383
Asheville Regional,2106
Aspen-Pitkin Co/Sardy,1665
Atlantic City International,115
Austin Straubel International,3596
Austin-Bergstrom International,19959
Baltimore-Washington International,30139
Bangor International,1758
"Baton Rouge Metropolitan, Ryan",2441
Bellingham Intl,120
Bemidji-Beltrami County,74
Bert Mooney,381
Bethel,391
Billings Logan Intl,1612
Binghamton Regional,390
Birmingham International,11175
Bishop,4062
Bismarck Municipal,1048
Blue Grass,4958
Boise Air Terminal,7288
Bradley International,13311
Brownsville/S.Padre Island International,389
Buffalo Niagara Intl,10636
Burbank-Glendale-Pasadena,6385
Burlington International,3623
Bush,420
Capital,889
Capital City,1967
Cedar City Muni,373
Central Illinois Regional,2002
Central Wisconsin,1516
Charleston AFB/International,5525
Charlotte/Douglas International,39139
Charlottesville-Albermarle,417
Cherry Capital,2167
Chicago Midway,21278
Chicago O'Hare International,112165
Chico Municipal,394
Cincinnati Northern Kentucky Intl,44091
City of Colorado Springs Muni,5632
Cleveland-Hopkins Intl,30256
Columbia Metropolitan,4279
Columbus Metropolitan,400
Corpus Christi International,1064
Craven County Regional,377
Cyril E. King,2290
Dallas Love,6975
Dallas-Fort Worth International,62758
Dane County Regional,6344
Daytona Beach International,1330
Deadhorse,727
Denver Intl,79867
Des Moines International,7030
Detroit Metropolitan-Wayne County,58419
Dillingham,116
Dothan,382
Dubuque Municipal,430
Duluth International,975
Durango-La Plata County,1386
Eagle County Regional,1877
Eastern Iowa,3715
Easterwood,647
Eglin Air Force Base,2233
El Paso International,7144
Elko Regional,393
Elmira/Corning Regional,394
Eppley Airfield,10061
Erie Intl,417
Evansville Regional,2135
Fairbanks International,1717
Falls International,72
Fayetteville Municipal,483
Flagstaff Pulliam,442
Florence Regional,374
Fort Lauderdale-Hollywood Int'l,23757
Fort Smith Regional,1147
Fort Wayne International,2663
Fresno Yosemite International,4365
Friedman Memorial,469
Gainesville Regional,406
Gallatin,1679
Gen Edw L Logan Intl,33735
General Mitchell International,16495
George Bush Intercontinental,54906
Gillette-Campbell County,524
Glacier Park Intl,1012
Glynco Jetport,385
Golden Triangle Regional,382
Grand Forks International,730
Great Falls Intl,924
Greater Peoria Regional,2419
Greater Rochester Int'l,7154
Greater Rockford,161
Greenbrier Valley,185
Greenville-Spartanburg,5400
Gregg County,400
Gulfport-Biloxi Regional,3321
Gunnison County,572
Gustavus,85
Harrisburg Intl,4147
Hector International,1637
Helena Regional,954
Henry E. Rohlsen,436
Hilo International,1502
Hilton Head,374
Honolulu International,14800
Houghton County Memorial,286
Huntsville International,5432
Idaho Falls Regional,1158
Imperial County,563
Indianapolis International,19377
Inyokern,408
Jack McNamara,761
Jackson Hole,2058
Jackson International,4771
